CATEGORY	ATTEMPTED	EMITTED	UNMAPPED	RESOLVED	PARTIAL	UNRESOLVED	AMBIGUOUS	CONDITIONAL	UNSUPPORTED	ERROR
java.annotated-with	288	288	0	288	0	0	0	0	0	0
java.calls	1514	1511	3	1078	0	434	0	0	0	2
java.constructor-calls	96	96	0	51	0	45	0	0	0	0
java.declares	462	445	17	445	0	0	0	0	15	2
java.extends	11	11	0	11	0	0	0	0	0	0
java.field-type	70	68	2	50	0	18	0	0	0	2
java.has-parameter	101	101	0	101	0	0	0	0	0	0
java.implements	6	6	0	6	0	0	0	0	0	0
java.method-references	2	2	0	0	0	2	0	0	0	0
java.parameter-type	94	94	0	94	0	0	0	0	0	0
java.permits	0	0	0	0	0	0	0	0	0	0
java.reads-field	319	306	13	304	0	0	0	0	13	2
java.returns	86	86	0	82	0	4	0	0	0	0
java.throws	45	45	0	45	0	0	0	0	0	0
java.type-argument	107	107	0	77	0	30	0	0	0	0
java.type-parameter-bound	1	1	0	0	0	1	0	0	0	0
java.type-uses	1021	1019	2	857	0	161	0	0	1	2
java.writes-field	27	27	0	27	0	0	0	0	0	0
